"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000126861","HAVANA","gene",NA,NA,"ENSG00000126861","protein_coding","OMG","1","HGNC:8135","OTTHUMG00000132870.3"
"ENSG00000126870","HAVANA","gene",NA,NA,"ENSG00000126870","protein_coding","DYNC2I1","2","HGNC:21862","OTTHUMG00000151443.5"
"ENSG00000126878","HAVANA","gene",NA,NA,"ENSG00000126878","protein_coding","AIF1L","1","HGNC:28904","OTTHUMG00000020817.4"
"ENSG00000126882","HAVANA","gene",NA,NA,"ENSG00000126882","protein_coding","FAM78A","2","HGNC:25465","OTTHUMG00000020821.3"
"ENSG00000126883","HAVANA","gene",NA,NA,"ENSG00000126883","protein_coding","NUP214","1","HGNC:8064","OTTHUMG00000020816.11"
"ENSG00000126890","HAVANA","gene",NA,NA,"ENSG00000126890","protein_coding","CTAG2","2","HGNC:2492","OTTHUMG00000024239.3"
"ENSG00000126895","HAVANA","gene",NA,NA,"ENSG00000126895","protein_coding","AVPR2","2","HGNC:897","OTTHUMG00000024227.6"
"ENSG00000126903","HAVANA","gene",NA,NA,"ENSG00000126903","protein_coding","SLC10A3","2","HGNC:22979","OTTHUMG00000013369.9"
"ENSG00000126934","HAVANA","gene",NA,NA,"ENSG00000126934","protein_coding","MAP2K2","2","HGNC:6842","OTTHUMG00000134286.6"
"ENSG00000126945","HAVANA","gene",NA,NA,"ENSG00000126945","protein_coding","HNRNPH2","2","HGNC:5042","OTTHUMG00000022029.2"
"ENSG00000126947","HAVANA","gene",NA,NA,"ENSG00000126947","protein_coding","ARMCX1","2","HGNC:18073","OTTHUMG00000022033.3"
"ENSG00000126950","HAVANA","gene",NA,NA,"ENSG00000126950","protein_coding","TMEM35A","2","HGNC:25864","OTTHUMG00000022016.2"
"ENSG00000126953","HAVANA","gene",NA,NA,"ENSG00000126953","protein_coding","TIMM8A","2","HGNC:11817","OTTHUMG00000022028.6"
"ENSG00000126970","HAVANA","gene",NA,NA,"ENSG00000126970","protein_coding","ZC4H2","2","HGNC:24931","OTTHUMG00000021712.2"
"ENSG00000127022","HAVANA","gene",NA,NA,"ENSG00000127022","protein_coding","CANX","1","HGNC:1473","OTTHUMG00000130910.13"
"ENSG00000127054","HAVANA","gene",NA,NA,"ENSG00000127054","protein_coding","INTS11","1","HGNC:26052","OTTHUMG00000003330.13"
"ENSG00000127074","HAVANA","gene",NA,NA,"ENSG00000127074","protein_coding","RGS13","2","HGNC:9995","OTTHUMG00000035601.1"
"ENSG00000127080","HAVANA","gene",NA,NA,"ENSG00000127080","protein_coding","IPPK","2","HGNC:14645","OTTHUMG00000020231.2"
"ENSG00000127081","HAVANA","gene",NA,NA,"ENSG00000127081","protein_coding","ZNF484","2","HGNC:23385","OTTHUMG00000020236.4"
"ENSG00000127083","HAVANA","gene",NA,NA,"ENSG00000127083","protein_coding","OMD","2","HGNC:8134","OTTHUMG00000020225.1"
"ENSG00000127084","HAVANA","gene",NA,NA,"ENSG00000127084","protein_coding","FGD3","2","HGNC:16027","OTTHUMG00000021032.8"
"ENSG00000127124","HAVANA","gene",NA,NA,"ENSG00000127124","protein_coding","HIVEP3","2","HGNC:13561","OTTHUMG00000192539.4"
